Year,Month,MobileWeb_or_Web,Type_of_Customers?,Where_Are_They_comming_from?,Which_Place_in_India?,How_many_Landed_on_our_Page?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button_and_started_filling_the_Form?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button_and_started_filling_the_Form_and_Completed_and_submited_the_form?
2019,Mar,Mobile_website,New_Customer,Unidentified_Sources,Bangalore,60889,42986,10685,4140
2019,Mar,Mobile_website,New_Customer,Unidentified_Sources,Chennai,45113,31285,9388,4642
2019,Mar,Mobile_website,New_Customer,Unidentified_Sources,Dehradun,61088,43702,9212,4999
2019,Mar,Mobile_website,New_Customer,Unidentified_Sources,Indore,578034,379748,167053,62317
2019,Mar,Mobile_website,New_Customer,Unidentified_Sources,Pune,240831,146432,44687,23924
2019,Apr,Desktop_Website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,47204,15942
2019,Apr,Desktop_Website,Existing_Customer,Came_From_Google,Chennai,NA,NA,33167,9290
2019,Apr,Desktop_Website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,41252,14879
2019,Apr,Desktop_Website,Existing_Customer,Came_From_Google,Indore,NA,NA,269960,91877
2019,Apr,Desktop_Website,Existing_Customer,Came_From_Google,Pune,NA,NA,186473,42002
2019,Apr,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,90526,26940
2019,Apr,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,65628,15763
2019,Apr,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,80662,21766
2019,Apr,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,400406,159749
2019,Apr,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,462838,88528
2019,Apr,Desktop_Website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,29174,5643
2019,Apr,Desktop_Website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,24951,4517
2019,Apr,Desktop_Website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,27936,6155
2019,Apr,Desktop_Website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,136082,39882
2019,Apr,Desktop_Website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,114020,19661
2019,Apr,Desktop_Website,New_Customer,Came_From_Google,Bangalore,96457,78817,41293,28898
2019,Apr,Desktop_Website,New_Customer,Came_From_Google,Chennai,93974,73164,39542,24166
2019,Apr,Desktop_Website,New_Customer,Came_From_Google,Dehradun,125274,95774,44540,29753
2019,Apr,Desktop_Website,New_Customer,Came_From_Google,Indore,1003725,814881,508253,310740
2019,Apr,Desktop_Website,New_Customer,Came_From_Google,Pune,335205,259989,137750,97733
2019,Apr,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Bangalore,228578,143913,54792,39687
2019,Apr,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Chennai,298956,156844,60888,38756
2019,Apr,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Dehradun,608835,282007,131315,115748
2019,Apr,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Indore,1664364,1020164,539867,405136
2019,Apr,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Pune,2141373,931923,287925,205025
2019,Apr,Desktop_Website,New_Customer,Unidentified_Sources,Bangalore,59410,42794,17019,5196
2019,Apr,Desktop_Website,New_Customer,Unidentified_Sources,Chennai,66650,48992,18766,7345
2019,Apr,Desktop_Website,New_Customer,Unidentified_Sources,Dehradun,88939,66911,11807,6091
2019,Apr,Desktop_Website,New_Customer,Unidentified_Sources,Indore,425843,326568,160913,86675
2019,Apr,Desktop_Website,New_Customer,Unidentified_Sources,Pune,182169,124750,43132,24175
2019,Apr,Mobile_website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,47007,12983
2019,Apr,Mobile_website,Existing_Customer,Came_From_Google,Chennai,NA,NA,18421,4578
2019,Apr,Mobile_website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,34689,10200
2019,Apr,Mobile_website,Existing_Customer,Came_From_Google,Indore,NA,NA,184640,55435
2019,Apr,Mobile_website,Existing_Customer,Came_From_Google,Pune,NA,NA,178367,37925
2019,Apr,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,121550,26482
2019,Apr,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,50800,8803
2019,Apr,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,92588,13756
2019,Apr,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,390267,121038
2019,Apr,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,587334,86407
2019,Apr,Mobile_website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,14423,3548
2019,Apr,Mobile_website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,9071,1901
2019,Apr,Mobile_website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,13118,3375
2019,Apr,Mobile_website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,62190,18204
2019,Apr,Mobile_website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,57568,10956
2019,Apr,Mobile_website,New_Customer,Came_From_Google,Bangalore,119484,85433,42592,30242
2019,Apr,Mobile_website,New_Customer,Came_From_Google,Chennai,85290,57582,28881,18264
2019,Apr,Mobile_website,New_Customer,Came_From_Google,Dehradun,161191,105883,48442,31273
2019,Apr,Mobile_website,New_Customer,Came_From_Google,Indore,1154916,832148,482134,281953
2019,Apr,Mobile_website,New_Customer,Came_From_Google,Pune,514611,338502,169384,122740
2019,Apr,Mobile_website,New_Customer,Landed_on_the_page_Directly,Bangalore,394190,209467,60318,31957
2019,Apr,Mobile_website,New_Customer,Landed_on_the_page_Directly,Chennai,260851,109594,39691,21442
2019,Apr,Mobile_website,New_Customer,Landed_on_the_page_Directly,Dehradun,543607,227114,43172,20154
2019,Apr,Mobile_website,New_Customer,Landed_on_the_page_Directly,Indore,2104969,1263709,581988,268555
2019,Apr,Mobile_website,New_Customer,Landed_on_the_page_Directly,Pune,2082420,869290,320336,182355
2019,Apr,Mobile_website,New_Customer,Unidentified_Sources,Bangalore,53269,39651,9228,3710
2019,Apr,Mobile_website,New_Customer,Unidentified_Sources,Chennai,43959,28969,8803,4531
2019,Apr,Mobile_website,New_Customer,Unidentified_Sources,Dehradun,54798,41200,7656,4134
2019,Apr,Mobile_website,New_Customer,Unidentified_Sources,Indore,480617,351044,157829,62805
2019,Apr,Mobile_website,New_Customer,Unidentified_Sources,Pune,201839,127107,37986,21543
2019,May,Desktop_Website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,48114,15928
2019,May,Desktop_Website,Existing_Customer,Came_From_Google,Chennai,NA,NA,31910,8995
2019,May,Desktop_Website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,44712,16611
2019,May,Desktop_Website,Existing_Customer,Came_From_Google,Indore,NA,NA,273795,93061
2019,May,Desktop_Website,Existing_Customer,Came_From_Google,Pune,NA,NA,204787,38929
2019,May,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,85514,25415
2019,May,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,66341,16719
2019,May,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,82890,30962
2019,May,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,411248,164949
2019,May,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,490481,93549
2019,May,Desktop_Website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,30088,6281
2019,May,Desktop_Website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,27241,5054
2019,May,Desktop_Website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,29811,7029
2019,May,Desktop_Website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,141830,41177
2019,May,Desktop_Website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,134836,23044
2019,May,Desktop_Website,New_Customer,Came_From_Google,Bangalore,96768,80399,41921,29961
2019,May,Desktop_Website,New_Customer,Came_From_Google,Chennai,88882,70260,37042,22362
2019,May,Desktop_Website,New_Customer,Came_From_Google,Dehradun,129409,103887,50080,34382
2019,May,Desktop_Website,New_Customer,Came_From_Google,Indore,984054,812395,497330,300589
2019,May,Desktop_Website,New_Customer,Came_From_Google,Pune,257543,201553,103466,72689
2019,May,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Bangalore,336097,251880,164368,140800
2019,May,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Chennai,282706,183399,102360,81147
2019,May,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Dehradun,1412563,1121317,994925,873534
2019,May,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Indore,2739053,2141881,1649732,1251258
2019,May,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Pune,1715715,885833,281386,194873
2019,May,Desktop_Website,New_Customer,Unidentified_Sources,Bangalore,57452,43444,17144,6487
2019,May,Desktop_Website,New_Customer,Unidentified_Sources,Chennai,62807,47839,16796,8275
2019,May,Desktop_Website,New_Customer,Unidentified_Sources,Dehradun,90956,75105,18607,12170
2019,May,Desktop_Website,New_Customer,Unidentified_Sources,Indore,428322,334837,165764,91535
2019,May,Desktop_Website,New_Customer,Unidentified_Sources,Pune,175084,125768,42176,24023
2019,May,Mobile_website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,51394,13690
2019,May,Mobile_website,Existing_Customer,Came_From_Google,Chennai,NA,NA,18169,4579
2019,May,Mobile_website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,38582,12082
2019,May,Mobile_website,Existing_Customer,Came_From_Google,Indore,NA,NA,193002,63051
2019,May,Mobile_website,Existing_Customer,Came_From_Google,Pune,NA,NA,171468,32662
2019,May,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,114608,25914
2019,May,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,49226,9478
